200	/	6003	text/html	景德镇陶瓷大学官方网站	'\ufeff<!DOCTYPE html>  <html style="width: 100%;height: 100%;">      <head>          <meta charset="utf-8">          <meta na'
200	/index.vsb.css	0	text/css		''
200	/_sitegray/_sitegray.js	95	application/javascript		'/*   * -- grayscale.js --   * Copyright (C) James Padolsey (http://james.padolsey.com)   *   */'
200	/_sitegray/_sitegray_d.css	20	text/css		'/*.nograyforsite{}*/'
200	/system/resource/js/counter.js	1329	application/javascript		'\ufeffvar _jsq_image = new Image();  function _jsq_encode(){_keyStr="ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123'
200	/system/resource/js/vsbscreen.min.js	3347	application/javascript		'var _vsb_multiscreen;if(typeof(_vsb_multiscreen)=="undefined"){var _vsb_multiscreen=new function(){var d=this;var a="vsb'
200	/templates/scripts/es-checker.js	9002	application/javascript		'\ufeff(function e(t,n,r){function s(o,u){if(!n[o]){if(!t[o]){var a=typeof require=="function"&&require;if(!u&&a)return a(o,!0'
200	/templates/scripts/jq.js	89504	application/javascript		'\ufeff/*! jQuery v3.6.0 | (c) OpenJS Foundation and other contributors | jquery.org/license */  !function(e,t){"use strict";"'
200	/templates/scripts/flux.min.js	36436	application/javascript		'\ufeff/*   Flux Slider v1.4.4   http://www.joelambert.co.uk/flux     Copyright 2011, Joe Lambert.   Free to use under the MIT'
200	/favicon.ico	2462	image/x-icon		'\x00\x00\x01\x00\x01\x00\x18\x18\x00\x00\x01\x00 \x00\t\x00\x00\x16\x00\x00\x00(\x00\x00\x00\x18\x00\x00\x000\x00\x00\x00\x01\x00 \x00\x00\x00\x00\x00\x00\t\x00\x00#.\x00\x00#.\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00H\x0e\x00?\x01\x00=\x00\x00[\x00u \x00\x18G\x0bWd2yM³\\ճ[լxLc0E\tSs\x1c\x00\x16tG\x00<\x00\x00@\x01\x00'
404	/robots.txt	1693	text/html	404错误提示	'<html>  <head>  \t<meta http-equiv="Content-Type" content="text/html; charset=UTF-8" />  \t<meta name="viewport" content="'
404	/sitemap.xml	1693	text/html	404错误提示	'<html>  <head>  \t<meta http-equiv="Content-Type" content="text/html; charset=UTF-8" />  \t<meta name="viewport" content="'
404	/swagger-ui.html	1693	text/html	404错误提示	'<html>  <head>  \t<meta http-equiv="Content-Type" content="text/html; charset=UTF-8" />  \t<meta name="viewport" content="'
404	/swagger/index.html	1693	text/html	404错误提示	'<html>  <head>  \t<meta http-equiv="Content-Type" content="text/html; charset=UTF-8" />  \t<meta name="viewport" content="'
404	/swagger.json	1693	text/html	404错误提示	'<html>  <head>  \t<meta http-equiv="Content-Type" content="text/html; charset=UTF-8" />  \t<meta name="viewport" content="'
404	/openapi.json	1693	text/html	404错误提示	'<html>  <head>  \t<meta http-equiv="Content-Type" content="text/html; charset=UTF-8" />  \t<meta name="viewport" content="'
404	/v2/api-docs	1693	text/html	404错误提示	'<html>  <head>  \t<meta http-equiv="Content-Type" content="text/html; charset=UTF-8" />  \t<meta name="viewport" content="'
404	/v3/api-docs	1693	text/html	404错误提示	'<html>  <head>  \t<meta http-equiv="Content-Type" content="text/html; charset=UTF-8" />  \t<meta name="viewport" content="'
404	/api-docs	1693	text/html	404错误提示	'<html>  <head>  \t<meta http-equiv="Content-Type" content="text/html; charset=UTF-8" />  \t<meta name="viewport" content="'
404	/docs	1693	text/html	404错误提示	'<html>  <head>  \t<meta http-equiv="Content-Type" content="text/html; charset=UTF-8" />  \t<meta name="viewport" content="'
404	/redoc	1693	text/html	404错误提示	'<html>  <head>  \t<meta http-equiv="Content-Type" content="text/html; charset=UTF-8" />  \t<meta name="viewport" content="'
404	/graphql	1693	text/html	404错误提示	'<html>  <head>  \t<meta http-equiv="Content-Type" content="text/html; charset=UTF-8" />  \t<meta name="viewport" content="'
404	/.env	1693	text/html	404错误提示	'<html>  <head>  \t<meta http-equiv="Content-Type" content="text/html; charset=UTF-8" />  \t<meta name="viewport" content="'
404	/.git/HEAD	1693	text/html	404错误提示	'<html>  <head>  \t<meta http-equiv="Content-Type" content="text/html; charset=UTF-8" />  \t<meta name="viewport" content="'
404	/WEB-INF/web.xml	1693	text/html	404错误提示	'<html>  <head>  \t<meta http-equiv="Content-Type" content="text/html; charset=UTF-8" />  \t<meta name="viewport" content="'
404	/backup.zip	1693	text/html	404错误提示	'<html>  <head>  \t<meta http-equiv="Content-Type" content="text/html; charset=UTF-8" />  \t<meta name="viewport" content="'
404	/www.zip	1693	text/html	404错误提示	'<html>  <head>  \t<meta http-equiv="Content-Type" content="text/html; charset=UTF-8" />  \t<meta name="viewport" content="'
404	/wwwroot.zip	1693	text/html	404错误提示	'<html>  <head>  \t<meta http-equiv="Content-Type" content="text/html; charset=UTF-8" />  \t<meta name="viewport" content="'
404	/index.jsp.bak	2455	text/html	系统提示	'<!doctype html>  <html>  <head>  <meta charset="utf-8">  <meta name="viewport" content="width=device-width,initial-scale'
404	/index.jsp~	1693	text/html	404错误提示	'<html>  <head>  \t<meta http-equiv="Content-Type" content="text/html; charset=UTF-8" />  \t<meta name="viewport" content="'
404	/system/login.jsp	2455	text/html	系统提示	'<!doctype html>  <html>  <head>  <meta charset="utf-8">  <meta name="viewport" content="width=device-width,initial-scale'
404	/system/resource/code/validateCode.jsp	2455	text/html	系统提示	'<!doctype html>  <html>  <head>  <meta charset="utf-8">  <meta name="viewport" content="width=device-width,initial-scale'
200	/system/resource/code/news/click/dynclicks.jsp	0	text/html;charset=UTF-8		''
200	/system/resource/code/news/click/clicktimes.jsp	0	text/html;charset=UTF-8		''
404	/system/resource/code/news/pagelist.jsp	2455	text/html	系统提示	'<!doctype html>  <html>  <head>  <meta charset="utf-8">  <meta name="viewport" content="width=device-width,initial-scale'
